,,"County subdivisions not defined, Cook County, Illinois",,,"Barrington township, Cook County, Illinois","Berwyn township, Cook County, Illinois","Bloom township, Cook County, Illinois","Bremen township, Cook County, Illinois","Calumet township, Cook County, Illinois","Chicago city, Cook County, Illinois","Cicero township, Cook County, Illinois","Elk Grove township, Cook County, Illinois","Evanston township, Cook County, Illinois","Hanover township, Cook County, Illinois","Lemont township, Cook County, Illinois","Leyden township, Cook County, Illinois","Lyons township, Cook County, Illinois","Maine township, Cook County, Illinois","New Trier township, Cook County, Illinois","Niles township, Cook County, Illinois","Northfield township, Cook County, Illinois","Norwood Park township, Cook County, Illinois","Oak Park township, Cook County, Illinois","Orland township, Cook County, Illinois","Palatine township, Cook County, Illinois","Palos township, Cook County, Illinois","Proviso township, Cook County, Illinois","Rich township, Cook County, Illinois","River Forest township, Cook County, Illinois","Riverside township, Cook County, Illinois","Schaumburg township, Cook County, Illinois","Stickney township, Cook County, Illinois","Thornton township, Cook County, Illinois","Wheeling township, Cook County, Illinois","Worth township, Cook County, Illinois","Addison township, DuPage County, Illinois","Bloomingdale township, DuPage County, Illinois","Chicago city, DuPage County, Illinois","Downers Grove township, DuPage County, Illinois","Lisle township, DuPage County, Illinois","Milton township, DuPage County, Illinois","Naperville township, DuPage County, Illinois","Wayne township, DuPage County, Illinois","Winfield township, DuPage County, Illinois","York township, DuPage County, Illinois"
    Middle Africa,,0,,,0,0,46,0,0,295,0,0,19,0,0,0,0,0,0,0,0,0,12,0,0,12,10,0,0,0,15,0,22,22,0,0,0,0,29,0,12,0,0,0,0
    Northern Africa:,,0,,,15,76,16,28,13,"1,423",0,64,98,6,0,48,74,131,7,114,77,0,42,0,82,100,53,0,0,6,83,32,29,77,78,8,15,0,300,99,54,106,25,8,106
      Egypt,,0,,,15,24,16,11,0,436,0,64,76,0,0,48,38,131,0,23,41,0,28,0,63,96,42,0,0,0,37,24,19,41,33,8,0,0,263,86,23,84,8,8,106
      Other Northern Africa,,0,,,0,52,0,17,13,987,0,0,22,6,0,0,36,0,7,91,36,0,14,0,19,4,11,0,0,6,46,8,10,36,45,0,15,0,37,13,31,22,17,0,0
    Southern Africa:,,0,,,5,0,6,6,0,470,0,15,38,0,0,0,8,0,33,63,39,0,24,6,162,0,0,14,0,8,8,0,4,45,0,0,0,0,43,9,76,55,0,15,6
      South Africa,,0,,,5,0,6,6,0,433,0,15,38,0,0,0,8,0,33,63,39,0,24,6,162,0,0,14,0,8,8,0,4,34,0,0,0,0,43,9,76,55,0,15,6
      Other Southern Africa,,0,,,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
    Western Africa:,,0,,,0,7,88,202,36,"7,391",0,64,155,0,0,25,46,87,0,91,4,0,164,25,21,0,219,297,29,0,115,0,672,59,19,22,84,0,85,157,36,130,0,0,35
      Ghana,,0,,,0,0,5,35,0,"1,960",0,17,61,0,0,0,21,8,0,0,0,0,30,0,0,0,56,50,29,0,36,0,21,22,0,0,0,0,58,73,0,62,0,0,25
      Nigeria,,0,,,0,0,73,161,36,"4,643",0,21,62,0,0,25,25,66,0,91,4,0,128,25,13,0,78,247,0,0,79,0,525,21,19,22,71,0,6,40,36,18,0,0,10
      Sierra Leone,,0,,,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
      Other Western Africa,,0,,,0,7,10,6,0,706,0,26,32,0,0,0,0,13,0,0,0,0,6,0,0,0,85,0,0,0,0,0,108,16,0,0,13,0,21,44,0,50,0,0,0
"    Africa, n.e.c.",,0,,,0,0,5,25,0,888,0,24,0,0,0,0,9,11,0,3,0,0,57,0,46,0,43,0,0,0,24,0,43,20,0,15,12,0,37,16,19,6,10,17,7
  Oceania:,,0,,,10,0,16,0,9,661,0,27,66,48,6,15,13,38,22,35,30,0,0,11,52,7,12,0,6,0,84,0,0,71,27,0,0,0,19,99,37,122,8,0,35
    Australia and New Zealand Subregion:,,0,,,10,0,16,0,0,622,0,27,66,48,6,15,13,31,22,32,30,0,0,11,52,7,7,0,6,0,55,0,0,57,18,0,0,0,10,99,37,122,8,0,35
      Australia,,0,,,10,0,10,0,0,499,0,27,43,18,6,9,13,25,22,32,30,0,0,11,46,7,0,0,6,0,55,0,0,50,18,0,0,0,10,73,37,85,8,0,28
      Other Australian and New Zealand Subregion,,0,,,0,0,6,0,0,123,0,0,23,30,0,6,0,6,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,7,0,0,0,0,0,26,0,37,0,0,7
    Melanesia,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,21,0,0,14,9,0,0,0,0,0,0,0,0,0,0
    Micronesia,,0,,,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0
    Polynesia,,0,,,0,0,0,0,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    Oceania, n.e.c.",,0,,,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Americas:,,0,,,189,"9,040","4,302","2,825","2,745","357,235","35,108","9,556","4,950","10,997",164,"10,227","5,469","7,577",734,"3,540","2,085",449,"1,204","1,065","8,411",855,"14,988",769,213,297,"6,111","1,854","5,905","11,300","4,783","12,171","6,178",0,"2,784","3,376","3,669","2,103","2,956","7,348","4,500"
    Latin America:,,0,,,180,"8,961","4,229","2,712","2,745","354,034","35,101","9,368","4,647","10,860",149,"10,070","5,275","7,297",532,"3,138","1,810",432,"1,014",950,"8,073",753,"14,795",684,135,274,"5,796","1,836","5,805","10,808","4,661","11,990","5,934",0,"2,398","2,713","3,191","1,652","2,763","7,220","4,135"
