country,,,"County subdivisions not defined, Cook County, Illinois",,,,"Barrington township, Cook County, Illinois",,"Berwyn township, Cook County, Illinois",,"Bloom township, Cook County, Illinois",,"Bremen township, Cook County, Illinois",,"Calumet township, Cook County, Illinois",,"Chicago city, Cook County, Illinois",,"Cicero township, Cook County, Illinois",,"Elk Grove township, Cook County, Illinois",,"Evanston township, Cook County, Illinois",,"Hanover township, Cook County, Illinois",,"Lemont township, Cook County, Illinois",,"Leyden township, Cook County, Illinois",,"Lyons township, Cook County, Illinois",,"Maine township, Cook County, Illinois",,"New Trier township, Cook County, Illinois",,"Niles township, Cook County, Illinois",,"Northfield township, Cook County, Illinois",,"Norwood Park township, Cook County, Illinois",,"Oak Park township, Cook County, Illinois",,"Orland township, Cook County, Illinois",,"Palatine township, Cook County, Illinois",,"Palos township, Cook County, Illinois",,"Proviso township, Cook County, Illinois",,"Rich township, Cook County, Illinois",,"River Forest township, Cook County, Illinois",,"Riverside township, Cook County, Illinois",,"Schaumburg township, Cook County, Illinois",,"Stickney township, Cook County, Illinois",,"Thornton township, Cook County, Illinois",,"Wheeling township, Cook County, Illinois",,"Worth township, Cook County, Illinois",
      Czechoslovakia (includes Czech Republic and Slovakia),,,0,,,+/-89,0,+/-89,51,+/-35,20,+/-28,0,+/-89,0,+/-89,"1,104",+/-341,54,+/-46,76,+/-64,15,+/-19,0,+/-89,0,+/-89,350,+/-157,261,+/-126,139,+/-90,13,+/-18,82,+/-68,31,+/-27,60,+/-74,59,+/-62,28,+/-43,14,+/-22,73,+/-58,189,+/-91,0,+/-89,0,+/-89,61,+/-49,41,+/-40,287,+/-210,10,+/-16,225,+/-146,173,+/-195
      Hungary,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,523,+/-172,0,+/-89,0,+/-89,11,+/-18,47,+/-48,18,+/-30,10,+/-16,43,+/-32,89,+/-51,38,+/-30,149,+/-78,25,+/-28,0,+/-89,18,+/-26,53,+/-65,57,+/-50,12,+/-21,36,+/-45,0,+/-89,0,+/-89,0,+/-89,85,+/-117,0,+/-89,30,+/-33,246,+/-173,33,+/-26
      Latvia,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,14,+/-22,0,+/-89,345,+/-133,17,+/-36,53,+/-67,0,+/-89,0,+/-89,0,+/-89,8,+/-13,11,+/-18,38,+/-42,36,+/-26,57,+/-47,126,+/-91,0,+/-89,28,+/-30,24,+/-38,91,+/-83,0,+/-89,35,+/-40,0,+/-89,0,+/-89,23,+/-36,11,+/-18,0,+/-89,0,+/-89,145,+/-77,44,+/-42
      Lithuania,,,0,,,+/-89,16,+/-27,36,+/-32,39,+/-42,495,+/-330,0,+/-89,"1,233",+/-347,31,+/-39,8,+/-15,76,+/-80,0,+/-89,570,+/-293,20,+/-22,359,+/-225,25,+/-27,0,+/-89,39,+/-28,13,+/-19,39,+/-51,13,+/-22,418,+/-260,127,+/-99,880,+/-365,57,+/-45,0,+/-89,0,+/-89,99,+/-142,136,+/-106,162,+/-119,0,+/-89,332,+/-208,810,+/-274
      Macedonia,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,363,+/-203,0,+/-89,101,+/-120,0,+/-89,52,+/-78,103,+/-118,50,+/-73,142,+/-123,11,+/-17,0,+/-89,0,+/-89,12,+/-20,41,+/-56,0,+/-89,22,+/-35,24,+/-39,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,15,+/-31,6,+/-10,0,+/-89,16,+/-24,22,+/-35
      Moldova,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,270,+/-141,0,+/-89,100,+/-139,0,+/-89,0,+/-89,0,+/-89,22,+/-34,0,+/-89,108,+/-132,0,+/-89,29,+/-33,46,+/-50,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,9,+/-15,0,+/-89,0,+/-89,113,+/-85,33,+/-59
      Poland,,,0,,,+/-89,108,+/-77,109,+/-81,62,+/-63,201,+/-108,1,+/-8,"44,228","+/-1,870",201,+/-111,"5,341",+/-687,180,+/-87,"1,928",+/-479,637,+/-250,"9,342",+/-912,"3,829",+/-604,"8,331",+/-935,457,+/-198,"1,971",+/-457,"1,456",+/-365,"3,972",+/-623,149,+/-89,"1,875",+/-509,"2,688",+/-556,"3,583",+/-605,755,+/-225,63,+/-50,80,+/-50,150,+/-70,"2,995",+/-562,"5,229",+/-783,161,+/-100,"6,482",+/-972,"3,631",+/-605
      Romania,,,0,,,+/-89,0,+/-89,10,+/-16,26,+/-39,15,+/-24,0,+/-89,"5,968",+/-895,25,+/-39,474,+/-302,261,+/-162,55,+/-82,15,+/-23,329,+/-137,92,+/-85,"1,046",+/-380,119,+/-85,"1,744",+/-447,280,+/-164,123,+/-96,35,+/-28,27,+/-46,264,+/-195,58,+/-69,229,+/-169,0,+/-89,10,+/-16,0,+/-89,294,+/-146,10,+/-18,0,+/-89,430,+/-232,273,+/-169
      Russia,,,0,,,+/-89,8,+/-14,24,+/-35,0,+/-89,1,+/-3,0,+/-89,"3,106",+/-432,6,+/-12,200,+/-97,223,+/-98,125,+/-93,13,+/-21,11,+/-14,66,+/-51,404,+/-187,121,+/-70,924,+/-222,810,+/-268,47,+/-57,155,+/-110,63,+/-61,482,+/-222,0,+/-89,84,+/-70,9,+/-13,20,+/-23,0,+/-89,130,+/-93,4,+/-5,0,+/-89,"1,480",+/-370,149,+/-160
      Ukraine,,,0,,,+/-89,25,+/-42,100,+/-115,122,+/-175,15,+/-23,0,+/-89,"6,404",+/-762,33,+/-53,123,+/-64,127,+/-74,119,+/-115,41,+/-61,674,+/-319,77,+/-74,862,+/-298,164,+/-112,"1,408",+/-373,"1,243",+/-293,147,+/-146,84,+/-63,81,+/-107,462,+/-182,44,+/-52,96,+/-84,0,+/-89,7,+/-11,0,+/-89,177,+/-119,0,+/-89,0,+/-89,"2,286",+/-480,72,+/-58
      Bosnia and Herzegovina,,,0,,,+/-89,0,+/-89,96,+/-94,0,+/-89,31,+/-42,0,+/-89,"3,776",+/-581,0,+/-89,189,+/-133,31,+/-43,147,+/-108,0,+/-89,366,+/-215,322,+/-203,805,+/-331,36,+/-58,202,+/-117,154,+/-122,50,+/-71,10,+/-17,0,+/-89,0,+/-89,0,+/-89,37,+/-47,0,+/-89,0,+/-89,0,+/-89,170,+/-147,0,+/-89,13,+/-21,139,+/-122,84,+/-136
      Yugoslavia,,,0,,,+/-89,0,+/-89,81,+/-56,10,+/-17,0,+/-89,0,+/-89,"3,799",+/-548,59,+/-50,230,+/-120,22,+/-25,59,+/-44,23,+/-32,55,+/-51,408,+/-187,796,+/-232,62,+/-57,901,+/-334,278,+/-169,190,+/-171,83,+/-91,224,+/-171,110,+/-73,53,+/-55,96,+/-60,15,+/-22,12,+/-19,56,+/-45,206,+/-113,56,+/-56,151,+/-93,384,+/-166,162,+/-85
        Serbia,,,0,,,+/-89,0,+/-89,41,+/-39,10,+/-17,0,+/-89,0,+/-89,"1,624",+/-361,15,+/-24,65,+/-66,0,+/-89,24,+/-29,23,+/-32,20,+/-32,247,+/-163,345,+/-153,32,+/-42,227,+/-158,47,+/-52,28,+/-31,69,+/-89,31,+/-37,68,+/-71,11,+/-21,53,+/-40,0,+/-89,0,+/-89,10,+/-17,41,+/-57,15,+/-24,117,+/-89,122,+/-76,0,+/-89
      Other Eastern Europe,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,"1,080",+/-311,27,+/-44,32,+/-37,36,+/-33,22,+/-29,3,+/-8,0,+/-89,141,+/-102,195,+/-119,87,+/-68,504,+/-173,230,+/-128,56,+/-86,27,+/-28,0,+/-89,8,+/-13,5,+/-8,0,+/-89,95,+/-175,0,+/-89,0,+/-89,6,+/-11,29,+/-38,25,+/-40,161,+/-102,60,+/-91
"    Europe, n.e.c.",,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,592,+/-242,0,+/-89,20,+/-31,0,+/-89,0,+/-89,0,+/-89,35,+/-40,0,+/-89,0,+/-89,45,+/-49,122,+/-99,0,+/-89,14,+/-26,3,+/-8,0,+/-89,11,+/-17,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,27,+/-41,0,+/-89
  Asia:,,,0,,,+/-89,"1,603",+/-332,883,+/-297,351,+/-150,"1,637",+/-458,39,+/-61,"116,044","+/-2,851",333,+/-199,"8,546",+/-913,"3,848",+/-491,"10,104",+/-870,285,+/-123,"3,415",+/-635,"2,951",+/-505,"18,788","+/-1,167","3,097",+/-362,"23,565","+/-1,038","9,451",+/-907,"1,302",+/-391,"1,813",+/-320,"4,745",+/-688,"9,788",+/-834,"3,535",+/-598,"2,901",+/-548,945,+/-346,417,+/-171,372,+/-213,"17,998",+/-983,"1,457",+/-477,665,+/-210,"10,894",+/-786,"3,744",+/-648
    Eastern Asia:,,,0,,,+/-89,588,+/-225,77,+/-53,97,+/-71,149,+/-92,39,+/-61,"40,322","+/-1,814",0,+/-89,"1,910",+/-440,"1,982",+/-403,"1,425",+/-363,60,+/-57,347,+/-139,441,+/-173,"3,339",+/-646,"1,908",+/-319,"4,666",+/-726,"5,608",+/-796,121,+/-87,661,+/-187,862,+/-386,"4,406",+/-655,285,+/-195,285,+/-93,98,+/-60,99,+/-74,102,+/-79,"4,295",+/-589,56,+/-60,158,+/-110,"2,931",+/-588,205,+/-130
